nr;RomName78;RomName;Game;Description
178;arkbloc2;arkblock;"Block (c) 1986 Game Corporation.
";"

"
179;arkblock;arkbloc2;"Block (c) 1986 Game Corporation.
";"

"
180;arknid2j;arknoid2j;"Arkanoid - Revenge of DOH (c) 1987 Taito Corp.
";"The mysterious enemy known as 'DOH' has returned to seek vengeance on the 'Vaus' space vessel. The player must once again take control of the Vaus and overcome many challenges in order to destroy DOH once and for all. 

An update of the popular 1986 original, Revenge of DOH sees the player battle through 34 rounds, taken from a grand total of 64. Revenge of DOH differs from its predecessor with the introduction of ""Warp Gates"". Upon completion of a round or when the Break ('B') pill is caught, two gates appear at the bottom left and bottom right of the play area respectively, the Vaus is then taken through one of the gates - the choice will affect which version of the next round is provided.

The game also features two new features for bricks. Notched silver bricks, like normal silver bricks, take several hits to destroy. However, after a short period of time after destruction, they regenerate at full strength. Fortunately, clearing a level does not require that any notched bricks to be destroyed. Also, some bricks move from side to side as long as their left and/or right sides are not obstructed by other bricks.

The game features a mini-boss in the form of a giant brain, which will help you practice for DOH. You must aim for the brain's mouth to defeat it."
181;arknid2u;arknoid2u;"Arkanoid - Revenge of DOH (c) 1987 Taito America Corp.
";"North American version. For more information about the game itself, please see the original Taito Japan entry.

- TRIVIA -

Licensed to Romstar for US distribution, Arkanoid - Revenge of DOH was released in June 1987.

This US version is different : 
* Round 1 (the first 'Iomanoid') features a completely different layout of blocks not included in the World or Japanese versions that features an entire line of notched bricks, with all colored bricks above it moving from side to side.
* If you use the continue feature after Game Over, your score is not reset to zero, and you don't have to start the current level over on a continue.
* The boss battles ('Vetranoid') are played in the attract mode.
* The layouts of Rounds 3-L and 20-R have both switched places with that of Round 17 (the first 'Vetranoid' - the mini-boss), making it possible to battle the mini-boss twice or not at all. Round 17-L is the same as non-US Round 3-L and is identified ingame as 'Xeufnoid' while Round 17-R is the same as non-US Round 20-R and is identified as 'Gakanoid'.

- STAFF -

Directed & Programmed by : Yasumasa Sasabe
Assistant programmers : Toshiaki Tsukano, Hideki Hashimoto
Graphic designers : Tetsuro Kitagawa, Kohzoh Igarashi, Genya Kuriki
Sound designer : Hisayoshi Ogura
Publicity supervisor : Hisayasu Nakane
Mechanical engineer : Yasunori Hatsuda
Game designed by : Kei. S"
182;arknoid2;arknoid2;"Arkanoid - Revenge of DOH (c) 1987 Taito Corp.
";"The mysterious enemy known as 'DOH' has returned to seek vengeance on the 'Vaus' space vessel. The player must once again take control of the Vaus and overcome many challenges in order to destroy DOH once and for all. 

An update of the popular 1986 original, Revenge of DOH sees the player battle through 34 rounds, taken from a grand total of 64. Revenge of DOH differs from its predecessor with the introduction of ""Warp Gates"". Upon completion of a round or when the Break ('B') pill is caught, two gates appear at the bottom left and bottom right of the play area respectively, the Vaus is then taken through one of the gates - the choice will affect which version of the next round is provided.

The game also features two new features for bricks. Notched silver bricks, like normal silver bricks, take several hits to destroy. However, after a short period of time after destruction, they regenerate at full strength. Fortunately, clearing a level does not require that any notched bricks to be destroyed. Also, some bricks move from side to side as long as their left and/or right sides are not obstructed by other bricks.

The game features a mini-boss in the form of a giant brain, which will help you practice for DOH. You must aim for the brain's mouth to defeat it."
183;arknoidj;arkanoidja;"Arkanoid (c) 1986 Taito Corp.
";"

"
184;arknoidu;arkanoidu;"Arkanoid (c) 1986 Taito America Corp.
";"North American version. For more information about the game, please see the original Taito Japan entry.

- TRIVIA -

Licensed to Romstar for US distribution, Arkanoid was released in December 1986."
185;arknoiuo;arkanoiduo;"Arkanoid (c) 1986 Taito America Corp.
";"North American version. For more information about the game, please see the original Taito Japan entry.

- TRIVIA -

Licensed to Romstar for US distribution, Arkanoid was released in December 1986."
186;arkretrn;arkretrnj;"Arkanoid Returns (c) 1997 Taito Corp.
";"The 3rd chapter in Taito's legendary 1 or 2-player bat and ball game, in which players once again control a paddle and must try to rebound a ball into patterns of bricks to remove them from the play area.

Each level is patrolled by enemies and certain bricks, when hit, release power-ups which then roll down the screen and can be collected by the player.

While the 3rd chapter contains 50 brand new levels for players to fight through, the actual gameplay itself remains unaltered from the first 2 games. The only real differences are a revamp of both the graphics and sound, as well as a number of minor enhancements to the in-game power-ups."
187;arlingtn;arlingtn;"Arlington Horse Racing (c) 1991 Strata.
";In this horse racing game, you plunk a bunch of quarters into the coin mechs, and then bet on the horses. When you are finished betting, press the start race button to see the horse run the track. The game then pays off any winning bids in credits, and then starts over.
188;armedf;armedff;"Armed Formation (c) 1988 Nichibutsu.
";A vertically scrolling shoot'em up.
189;armora;armora;"Armor Attack (c) 1980 Cinematronics.
";"A wireframe, top-down shoot-em-up in which the player controls a small jeep and must destroy the many tanks and helicopters that populate the war-torn cityscape that represents the game's single play area. As with many games of the time (""Space Invaders"", ""Battlezone"", etc.), Armor Attack's graphics were simple monochrome, with a colour overlay added to the cabinet to give the impression of multicolour graphics."
190;armorap;armorap;"Armor Attack (c) 1980 Cinematronics.
";"A wireframe, top-down shoot-em-up in which the player controls a small jeep and must destroy the many tanks and helicopters that populate the war-torn cityscape that represents the game's single play area. As with many games of the time (""Space Invaders"", ""Battlezone"", etc.), Armor Attack's graphics were simple monochrome, with a colour overlay added to the cabinet to give the impression of multicolour graphics."
191;armorar;armorar;"Armor Attack (c) 1980 Rock-Ola Mfg. Corp.
";"This is the licensed version of the Cinematronics original. Read the original ""Armor Attack"" entry for more information."
192;armorca2;armorcar2;"Armored Car (c) 1981 Stern Electronics, Incorporated.
";An overhead view maze game where you drive a money van (the armoured car) through as it scrolls from right to left. Some intersections are marked with directions. You pick up money to deliver to banks while avoiding criminals by dropping saw horses in roadway. Fuel levels must be replenished at gas stations along the way.
193;armorcar;armorcar;"Armored Car (c) 1981 Stern Electronics, Incorporated.
";An overhead view maze game where you drive a money van (the armoured car) through as it scrolls from right to left. Some intersections are marked with directions. You pick up money to deliver to banks while avoiding criminals by dropping saw horses in roadway. Fuel levels must be replenished at gas stations along the way.
194;armwar;armwar;"Armored Warriors (c) 1994 Capcom Company, Limited.
";"North American & European release. Game developed in Japan. For more information about the game itself, please see the original Japanese release entry; ""Powered Gear - Strategic Variant Armor Equipment [Green Board]""."
195;armwara;armwarar1;"Armored Warriors (c) 1994 Capcom Company, Limited.
";"Asian release. Game developed in Japan. For more information about the game itself, please see the original Japanese release entry; ""Powered Gear - Strategic Variant Armor Equipment [Green Board]""."
196;armwaru;armwaru;"Armored Warriors (c) 1994 Capcom Company, Limited.
";"North American & European release. Game developed in Japan. For more information about the game itself, please see the original Japanese release entry; ""Powered Gear - Strategic Variant Armor Equipment [Green Board]""."
197;armwrest;armwrest;"Arm Wrestling (c) 1985 Nintendo.
";"In Arm Wrestling, the player takes on a number of different, distinctly cartoon-like opponents in a series of arm wrestling matches. The game's graphical styling is very similar to Nintendo's classic ""Punch-Out!!"" series. Gameplay requires that the player initially pushes the joystick to the left, but whenever the computer opponent starts to act, the player must push the joystick to the right to counter-attack, and press the button to increase power. If the counterattack is unsuccessful, moving the joystick back and forth several times will prevent the player from being pinned. The player's opponent must be pinned before the counter reaches one minute, or the match will be lost."
198;ashnojoe;ashnojoe;"あしたのジョー (c) 1990 Taito Corp.
";"(Ashita no Joe)

A boxing game."
199;ashura;ashuraj;"Ashura Blaster (c) 1990 Taito Corp.
";A vertically scrolling shoot'em up game.
200;ashurau;ashurau;"Ashura Blaster (c) 1990 Taito Corp.
";A vertically scrolling shoot'em up game.
201;aso;aso;"ASO - Armored Scrum Object (c) 1985 SNK.
";ASO is a one-player scrolling shooter game, similar to Xevious in its segregation of air-to-air and air-to-ground weapons. Missiles are used to destroy ground enemies, while laser-like weapons are used for aerial opponents. Throughout each of the levels, the player must fight off waves of enemies that threaten several space stations and a boss must be defeated at the end of each. Like most early games in this genre, when the player dies, all weapons are lost and the player is moved to a point slightly before the point of death. The player's craft can also be upgraded to have more powerful weapons by picking up various power-ups throughout the level.
202;assault;assault;"Assault (c) 1988 Namco, Limited.
";"Your mission is to reclaim your homeland by destroying the enemy forces that have taken over. You have an Assault tank, the supreme mobile weapon. Your tank has artillery guns and grenades, can perform Rapid Rolls to dodge enemy shots, and uses Power Wheelies to launch grenades.

Your controls are two 4-position joysticks with triggers. These controls make Assault like no other tank game. You have a quick, highly responsive vehicle with fast movement in all directions. To avoid enemy shots, Rapid Roll your tank left or right by moving both joysticks to the same side. To launch grenades, put the tank in the Power Wheelie position by moving both joysticks to the outside, then pressing either trigger. Your grenades are triple the fire power of your tank's standard shots.

Your tank is always in the center of the screen no matter what direction you are going. With Assault's 360-degree scrolling playfield, the world rotates around you as you move. An arrow always points you towards the exit to the next level.

The lift zone gives you an advantage over the invaders and a spectacular view of the playfield. Each lift zone is a five-sided platform on the playfield that flashes red when you can use it. When you drive onto the lift zone, your tank jets straight up to get a bird's eye view of the surrounding terrain and enemy lines. From this overhead position, you can reconnoiter enemy forces and bomb enemy outposts.

Fight your way through 11 different levels to seek out and destroy the invader’s headquarters. To succeed, you must :
* Dodge enemy gunfire with the Rapid Roll maneuver.
* Assault enemy lines with long-range powerful grenades launched from Power Wheelies.
* Destroy all enemy tanks you encounter to prevent rear attacks.
* Bomb enemy outposts and reconnoiter enemy emplacements using the lift zones.
* Protect yourself against enemy artillery using buildings and trees.
* Blow up the large cannons on each level while you avoid enemy attacks.
* Follow the arrow to find the exit to the next level. Before you can exit, you must destroy the large cannons defending the enemy strongholds."
203;assaultj;assaultj;"Assault (c) 1988 Namco, Limited.
";"Your mission is to reclaim your homeland by destroying the enemy forces that have taken over. You have an Assault tank, the supreme mobile weapon. Your tank has artillery guns and grenades, can perform Rapid Rolls to dodge enemy shots, and uses Power Wheelies to launch grenades.

Your controls are two 4-position joysticks with triggers. These controls make Assault like no other tank game. You have a quick, highly responsive vehicle with fast movement in all directions. To avoid enemy shots, Rapid Roll your tank left or right by moving both joysticks to the same side. To launch grenades, put the tank in the Power Wheelie position by moving both joysticks to the outside, then pressing either trigger. Your grenades are triple the fire power of your tank's standard shots.

Your tank is always in the center of the screen no matter what direction you are going. With Assault's 360-degree scrolling playfield, the world rotates around you as you move. An arrow always points you towards the exit to the next level.

The lift zone gives you an advantage over the invaders and a spectacular view of the playfield. Each lift zone is a five-sided platform on the playfield that flashes red when you can use it. When you drive onto the lift zone, your tank jets straight up to get a bird's eye view of the surrounding terrain and enemy lines. From this overhead position, you can reconnoiter enemy forces and bomb enemy outposts.

Fight your way through 11 different levels to seek out and destroy the invader’s headquarters. To succeed, you must :
* Dodge enemy gunfire with the Rapid Roll maneuver.
* Assault enemy lines with long-range powerful grenades launched from Power Wheelies.
* Destroy all enemy tanks you encounter to prevent rear attacks.
* Bomb enemy outposts and reconnoiter enemy emplacements using the lift zones.
* Protect yourself against enemy artillery using buildings and trees.
* Blow up the large cannons on each level while you avoid enemy attacks.
* Follow the arrow to find the exit to the next level. Before you can exit, you must destroy the large cannons defending the enemy strongholds."
204;assaultp;assaultp;"Assault Plus (c) 1988 Namco.
";Your mission is to reclaim your homeland by destroying the enemy forces that have taken over. You have an Assault tank, the supreme mobile weapon. Your tank has artillery guns and grenades, can perform Rapid Rolls to dodge enemy shots, and uses Power Wheelies to launch grenades.
205;astdelu1;astdelux1;"Asteroids Deluxe (c) 1981 Atari, Incorporated.
";"Asteroids Deluxe is a 1 or 2-player game with an X-Y or vector-generator monitor. The game depicts a third-person view of a player's spaceship battling to destroy asteroids, flying saucers and enemy ships or 'death stars' (shaped like clusters of triangles). When hit, the asteroids and death stars will break into progressively smaller pieces. 

Players can put up an octagon-shaped 'shield' to temporarily protect their spaceship. However, this shield wears out with use. 

Large asteroids appear and drift in from the outer edges of the display. By pressing the ROTATE LEFT and ROTATE RIGHT pushbuttons on the control panel, the player may aim a spaceship toward any of the asteroids. The player uses the FIRE pushbutton to shoot at the asteroids and other objects. 

When shot, each large asteroid divides into two medium-sized asteroids, and the game adds 20 points to the player's score. Medium-sized asteroids, when shot, divide into two small-sized asteroids, and the game awards 50 points to the player. When shot the smallest asteroid disappears and the game adds 100 points to the player's score. 

In addition to asteroids, the players can score points for shooting the various enemy ships. When hit, the large ships ('death stars' shaped like hexagons) score 50 points and break into three diamond shapes. The medium-sized enemy or diamond, when hit, grants the player 100 points and breaks into two small triangular pieces. These small pieces disappear when the player hits them, and the score increases by 200 points. 

At any time during game play, a flying saucer may appear from either side of the display. The game awards players 200 points for shooting a large saucer and 1,000 points for a small saucer (the latter is a smaller target for players, though not any faster moving than the large one. It also shoots more accurately). 

The player's objective in the game is to shoot and destroy as many asteroids, saucers, and enemy ships as possible before all his or her spaceships are destroyed. A ship is destroyed if an asteroid, saucer or enemy ship smashes into it, or if a flying saucer shoots it. To prevent losing a ship, the player may press the THRUST pushbutton to move out of the path of an oncoming object. 

As an emergency maneuver, a player can press the Shields button. An octagon will then appear around the player's ship as protection from all enemies. For challenge the shield power lasts only about 10 seconds, but the power is renewed with each ship. The amount of shielding power available is shown by the brightness of the octagon (dim means almost exhausted power). 

- CAST OF CHARACTERS - 

Spaceship - This is you, the player. You can rotate 360 degrees, fire bullets, thrust forward in any direction, and use the shields if you feel you are in danger. 

Large Asteroid - These are the large rocks that fill the screen at the beginning of each stage. Hitting one with a bullet will break it apart in to two Medium Asteroids. 

Medium Asteroid - Slightly smaller than Large Asteroids, but faster moving, shooting one of these will result in two Small Asteroids. 

Small Asteroid - These are the smallest and fastest rocks on the screen. If a bullet hits one of these, it will vaporize. 

Hexagon - This addition to Asteroids appears when the stage is nearly free of rocks. It floats in one direction until it is shot. 

Diamond - When the Hexagon is shot it breaks up in to three separate diamonds. These begin to track and slowly follow you. 

Triangle - When a Diamond is shot it breaks up in to two separate triangles. These will move very quickly and zero in on you if you don't destroy them fast enough. 

Large Saucer - Large flying saucers appear on the screen from time to time, randomly firing shots around the screen. Approximately one out of every four shots will be aimed directly at your ship. They will also target Hexagons if any are on the screen at the same time. 

Small Saucer - The small saucers are deadlier than the large variety. They are much more precise with their shots, and are more likely to kill you. Eliminate them quickly or get out of their range."
206;astdelux;astdelux;"Asteroids Deluxe (c) 1981 Atari, Incorporated.
";"Asteroids Deluxe is a 1 or 2-player game with an X-Y or vector-generator monitor. The game depicts a third-person view of a player's spaceship battling to destroy asteroids, flying saucers and enemy ships or 'death stars' (shaped like clusters of triangles). When hit, the asteroids and death stars will break into progressively smaller pieces. 

Players can put up an octagon-shaped 'shield' to temporarily protect their spaceship. However, this shield wears out with use. 

Large asteroids appear and drift in from the outer edges of the display. By pressing the ROTATE LEFT and ROTATE RIGHT pushbuttons on the control panel, the player may aim a spaceship toward any of the asteroids. The player uses the FIRE pushbutton to shoot at the asteroids and other objects. 

When shot, each large asteroid divides into two medium-sized asteroids, and the game adds 20 points to the player's score. Medium-sized asteroids, when shot, divide into two small-sized asteroids, and the game awards 50 points to the player. When shot the smallest asteroid disappears and the game adds 100 points to the player's score. 

In addition to asteroids, the players can score points for shooting the various enemy ships. When hit, the large ships ('death stars' shaped like hexagons) score 50 points and break into three diamond shapes. The medium-sized enemy or diamond, when hit, grants the player 100 points and breaks into two small triangular pieces. These small pieces disappear when the player hits them, and the score increases by 200 points. 

At any time during game play, a flying saucer may appear from either side of the display. The game awards players 200 points for shooting a large saucer and 1,000 points for a small saucer (the latter is a smaller target for players, though not any faster moving than the large one. It also shoots more accurately). 

The player's objective in the game is to shoot and destroy as many asteroids, saucers, and enemy ships as possible before all his or her spaceships are destroyed. A ship is destroyed if an asteroid, saucer or enemy ship smashes into it, or if a flying saucer shoots it. To prevent losing a ship, the player may press the THRUST pushbutton to move out of the path of an oncoming object. 

As an emergency maneuver, a player can press the Shields button. An octagon will then appear around the player's ship as protection from all enemies. For challenge the shield power lasts only about 10 seconds, but the power is renewed with each ship. The amount of shielding power available is shown by the brightness of the octagon (dim means almost exhausted power). 

- CAST OF CHARACTERS - 

Spaceship - This is you, the player. You can rotate 360 degrees, fire bullets, thrust forward in any direction, and use the shields if you feel you are in danger. 

Large Asteroid - These are the large rocks that fill the screen at the beginning of each stage. Hitting one with a bullet will break it apart in to two Medium Asteroids. 

Medium Asteroid - Slightly smaller than Large Asteroids, but faster moving, shooting one of these will result in two Small Asteroids. 

Small Asteroid - These are the smallest and fastest rocks on the screen. If a bullet hits one of these, it will vaporize. 

Hexagon - This addition to Asteroids appears when the stage is nearly free of rocks. It floats in one direction until it is shot. 

Diamond - When the Hexagon is shot it breaks up in to three separate diamonds. These begin to track and slowly follow you. 

Triangle - When a Diamond is shot it breaks up in to two separate triangles. These will move very quickly and zero in on you if you don't destroy them fast enough. 

Large Saucer - Large flying saucers appear on the screen from time to time, randomly firing shots around the screen. Approximately one out of every four shots will be aimed directly at your ship. They will also target Hexagons if any are on the screen at the same time. 

Small Saucer - The small saucers are deadlier than the large variety. They are much more precise with their shots, and are more likely to kill you. Eliminate them quickly or get out of their range."
207;asterix;asterix;"Asterix (c) 1992 Konami Company, Limited.
";Asterix is a 1- or 2-player horizontal-scrolling beat'em up based on the French comic series, 'Asterix & Obelix'. The player fights as either Asterix the Gaul or his best friend, Obelix, as they take on the 'might' of the oppressive Roman Empire. Asterix includes a variety of humorous fighting moves, which are demonstrated in the game's attract mode. The artwork and feel of Asterix remains true to its French source material, and the game's many humorous touches (such as the way defeated Legionnaires crawl away) will be instantly familiar to fans of the comic-book and cartoon series. Bonus levels - such as the chariot race that awaits at the end of the first level - introduce different game-play elements to provide a break from the fighting.
208;asterock;asterock;"Asterock (c) 1979 Sidam.
";"An Italian bootleg of Atari's Asteroids.

- TRIVIA -

The official Italian distributor of Atari Arcades, f.lli Bertolino s.r.l., moved a legal attack against Sidam, and won. Many code fragments stored in ROM of Asterock, Missile Storm and other Sidam clones was identical to those contained in Atari originals' memory. Sidam changed the coin accept and sound routines, to get rid of copyrighted Atari POKEY chip. Sidam called this a 'coincidence'; moreover, the Italian legislation did not mention directly the computer programs as copyrighted materials like songs and books. However, the court sentenced about the 'intellectual property' of programs - this was an important sentence in Italian legal history - and Sidam was convicted of copyright violation."
209;asteroi1;asteroid1;"Asteroids (c) 1981 Atari, Incorporated.
";"The object of the game is to destroy as many asteroid boulders as possible and keep your ship in space as long as possible. Use your Joystick Controller to maneuver your ship through space and press the red controller(fire) button to shoot photon torpedoes at the asteroid boulders. When an asteroid is hit, it may just break up into smaller boulders, or it may be completely pulverized. In some game variations you'll face additional space hazards such as satellites and UFOs (Unidentified Flying Objects); both of which may be firing torpedoes at you.

Asteroids includes 66 game variations for 1 or 2 players."
210;asteroib;asteroidb;"Asteroids (c) 1979 Atari, Incorporated.
";"Asteroids is a legendary, genre defining game - in an era replete with genre-defining classics - in which a single player takes control of a spaceship trapped in the middle of an asteroid belt. A number of large, slow-moving asteroids drift randomly around the play area and must be shot by the player. When shot, the asteroids will break into a number of smaller pieces which must also be shot until eventually, all of the asteroids and fragments will be destroyed and the next wave begins. 

Asteroids introduced real-world physics to video games for the first time, with speed and inertia all adding to the player's problems. As well as the inertia of the player's ship - forcing the player to allow for the ship slowing down and speeding up whenever the Thrust button was utilized - shot asteroids would often send fragments flying in seemingly random directions, and at varying and unpredictable speeds. 

As well as the ever-present asteroids, flying saucers also make a regular appearance. These move horizontally and diagonally around the screen, firing at the player's ship, and must be quickly destroyed. They are destroyed when hit by the player's shot, when hit by a saucer's shot or when they collide with an asteroid. 

- CAST OF CHARACTERS - 

Spaceship - This is you, the player. You can rotate 360 degrees, fire bullets, thrust forward in any direction, and hyperspace to safety if you feel you are in danger. 

Large Asteroid - These are the large rocks that fill the screen at the beginning of each stage. Hitting one with a bullet will break it apart into two Medium Asteroids. 

Medium Asteroid - Slightly smaller than Large Asteroids, but faster moving. Shooting one of these will result in two Small Asteroids. 

Small Asteroid - These are the smallest and fastest rocks on the screen. If a bullet hits one of these, it will vaporize. 

Large Saucer - Large flying saucers appear on the screen from time to time, randomly firing shots around the screen. They pose a minor threat. 

Small Saucer - The smaller flying saucers are deadlier than the large variety. They are much more precise with their shots, and are more likely to kill you. Eliminate them quickly or get out of their range."
211;asteroid;asteroid2;"Asteroids (c) 1979 Atari, Incorporated.
";"Asteroids is a legendary, genre defining game - in an era replete with genre-defining classics - in which a single player takes control of a spaceship trapped in the middle of an asteroid belt. A number of large, slow-moving asteroids drift randomly around the play area and must be shot by the player. When shot, the asteroids will break into a number of smaller pieces which must also be shot until eventually, all of the asteroids and fragments will be destroyed and the next wave begins. 

Asteroids introduced real-world physics to video games for the first time, with speed and inertia all adding to the player's problems. As well as the inertia of the player's ship - forcing the player to allow for the ship slowing down and speeding up whenever the Thrust button was utilized - shot asteroids would often send fragments flying in seemingly random directions, and at varying and unpredictable speeds. 

As well as the ever-present asteroids, flying saucers also make a regular appearance. These move horizontally and diagonally around the screen, firing at the player's ship, and must be quickly destroyed. They are destroyed when hit by the player's shot, when hit by a saucer's shot or when they collide with an asteroid. 

- CAST OF CHARACTERS - 

Spaceship - This is you, the player. You can rotate 360 degrees, fire bullets, thrust forward in any direction, and hyperspace to safety if you feel you are in danger. 

Large Asteroid - These are the large rocks that fill the screen at the beginning of each stage. Hitting one with a bullet will break it apart into two Medium Asteroids. 

Medium Asteroid - Slightly smaller than Large Asteroids, but faster moving. Shooting one of these will result in two Small Asteroids. 

Small Asteroid - These are the smallest and fastest rocks on the screen. If a bullet hits one of these, it will vaporize. 

Large Saucer - Large flying saucers appear on the screen from time to time, randomly firing shots around the screen. They pose a minor threat. 

Small Saucer - The smaller flying saucers are deadlier than the large variety. They are much more precise with their shots, and are more likely to kill you. Eliminate them quickly or get out of their range."
212;astinvad;astinvad;"Astro Invader (c) 1980 Stern Electronics.
";"Export release. Game developed in Japan. See ""Kamikaze"" for more information about the game itself.

- TRIVIA -

Released in June 1980.

This game appears in Tom Petty and the Heartbreakers music video for the song 'You Got Lucky' (1982).

Fred Pastore of Medford, Massachusetts, holds the official record for this game with 56,330 points on June 4, 2006.

An Italian bootleg of this game is known as ""Kosmo Killer""."
213;astorm;astormj;"Alien Storm (c) 1990 Sega.
";"Alien Storm is a side-scrolling beat-em-up in which up to 3 players take on the role of one of 3 futuristic warriors. The game heroes are charged with destroying the hoards of repulsive aliens who are invading the Earth. Many of the aliens are disguised as a variety of everyday street objects; such as telephone booths, oil cans, trash cans and mailboxes. The aliens reveal their true forms as the warriors approach.

Each of the 3 heroes carries their own individual weapon; Gordon has his plasma gun, Karla has a flamethrower and Scooter has an electric whip. At the end of each level, the warriors will enter a building and the shoot-em-up action will switch to a first-person perspective."
214;astorm2p;astorm;"Alien Storm (c) 1990 Sega.
";"Alien Storm is a side-scrolling beat-em-up in which up to 3 players take on the role of one of 3 futuristic warriors. The game heroes are charged with destroying the hoards of repulsive aliens who are invading the Earth. Many of the aliens are disguised as a variety of everyday street objects; such as telephone booths, oil cans, trash cans and mailboxes. The aliens reveal their true forms as the warriors approach.

Each of the 3 heroes carries their own individual weapon; Gordon has his plasma gun, Karla has a flamethrower and Scooter has an electric whip. At the end of each level, the warriors will enter a building and the shoot-em-up action will switch to a first-person perspective."
215;astormbl;astormbl;"Alien Storm (c) 1990 Sega.
";"Alien Storm is a side-scrolling beat-em-up in which up to 3 players take on the role of one of 3 futuristic warriors. The game heroes are charged with destroying the hoards of repulsive aliens who are invading the Earth. Many of the aliens are disguised as a variety of everyday street objects; such as telephone booths, oil cans, trash cans and mailboxes. The aliens reveal their true forms as the warriors approach.

Each of the 3 heroes carries their own individual weapon; Gordon has his plasma gun, Karla has a flamethrower and Scooter has an electric whip. At the end of each level, the warriors will enter a building and the shoot-em-up action will switch to a first-person perspective."
216;astrass;astrass;;
217;astrob;astrob;"Astro Blaster (c) 1981 Sega.
";"Astro Blaster is a 1- or 2-player game in which players must advance through squadrons of alien ships in an attempt to dock with the mother ship. Players move their ship left or right and shoot at attacking squadrons. A special time warp allows the player to slow down the alien space ships and their laser fire, while maintaining his own ship and laser fire at normal speed.

As players go through the game play, each step is directed by the voice of mission control. Mission control keeps players informed of fuel status, provides a countdown on warp, keeps track of the number of ships remaining, and monitors the player's laser temperature.

As players enter each new sector they encounter a different number of alien squadrons. Players must destroy all ships in each squadron to pass through the sector. One squadron of rockets is extremely difficult to destroy, but players can pass through this squadron by hitting a few enemy ships. Once a player has destroyed all the squadrons in that sector, he enters an asteroid belt. He must maneuver and shoot his way through the asteroids to reach the mother ship. If fuel is critically low when the player enters the asteroid belt, he can receive extra fuel by shooting the red fireballs interspersed among the asteroids. After passing through the asteroid belt, the player's ship docks with the mother ship and refuels.

There are 29 different alien squadrons players encounter as they move through the different sectors. Every new sector increases in difficulty with different numbers of squadrons in each sector. Each alien ship has its own individualized sounds, movements and firing capability.

During their game, players must keep track of fuel consumption. As the player's ship moves through the sector, it consumes fuel. The player must ensure he has enough fuel to advance through the sector and dock with the mother ship. Extra fuel can only be obtained by shooting red fireballs or docking with the mother ship. The screen also displays the laser temperature. As players fire, the laser temperature rises. When they cease firing it cools down. If the laser overheats, players lose their laser fire until it cools down.

By depressing the warp button, players slow down the enemy ships and their laser fire while maintaining his own at normal speed. Players receive one warp per ships and are awarded one warp upon docking, if he has used his warp in the previous sector.

Each alien ship destroyed carries a different point value. Players also receive double points for destroying an alien ship when their fuel is in the red. To add further excitement, there are 25 tasks that a player performs during the course of the game and receives a secret bonus. Players do not know what these tasks are, but a good player will keep track. The 25 tasks are consistent throughout the game. Players also receive a bonus for any fuel they have left when they dock with the mother ship.

With a two-player game, players alternate at the conclusion of each sector, not after each ship.  Players receive 3 to 5 ships, which is operator adjustable. The game is over when a player runs out of fuel, loses all his ships, or crashes while attempting to dock with the mother ship. The top three scores are displayed and the game ranks players from 1 to 99.

PLAY INSTRUCTIONS :
1. Shoot enemy space ships for points.
2. Shoot fire balls for extra fuel.
3. Use warp to slow down enemy ships and bombs (only once per sector or ship).
4. Discover how to earn secret bonuses for extra points.
5. Dock with mother ship to refuel after each sector.
6. Game over when you run out of ships or fuel.
7. Laser will not fire while overheated."
